;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
andy peelman;2;5;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;4.047181859728126;0
lidmaatschap zijn;1;20;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;4.047181859728126;0
reconstructie;2;5;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;4.047181859728126;0
regering-de;1;20;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;4.047181859728126;0
stem;1;20;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;4.047181859728126;0
zna;1;20;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;4.047181859728126;0
russisch;5;31;0.004524886877828055;3.0;6.0;0.0025974025974025974;1.7420814479638012;3.959803886379755;0
trump lezen;1;19;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.944704926281153;0
mohammed-cartoon;1;19;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.944704926281153;0
ideaal;1;19;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.944704926281153;0
de croo;2;14;0.0018099547511312218;1.0;4.0;0.0008658008658008658;2.090497737556561;3.9109631508813596;0
abdoullakh anzorov;1;18;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.83949383449709;0
metersdiepe;1;18;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.83949383449709;0
geert molenberghs;1;18;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.83949383449709;0
tsjetsjenië;1;18;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.83949383449709;0
meetjesland;1;17;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.7313173082512767;0
▶ videoboodschap van sinterklaas;1;17;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.7313173082512767;0
belgrado;2;4;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;3.6199095022624435;0
meise;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
aalter;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
